证券代码,证券简称,细分行业,Unnamed: 3,一级行业,细分行业.1
002916.SZ,深南电路,印制电路板,,传媒,广告媒体
600887.SH,伊利股份,乳品,,有色金属,铝
002463.SZ,沪电股份,印制电路板,,美容护理,医美服务
600346.SH,恒力石化,炼油化工,,非银金融,金融控股
600016.SH,民生银行,股份制银行Ⅲ,,交通运输,原材料供应链服务
601688.SH,华泰证券,证券Ⅲ,,建筑装饰,房屋建设Ⅲ
600104.SH,上汽集团,综合乘用车,,钢铁,冶钢辅料
601872.SH,招商轮船,航运,,有色金属,铜
002028.SZ,思源电气,输变电设备,,有色金属,其他金属新材料
601995.SH,中金公司,证券Ⅲ,,电子,被动元件
300433.SZ,蓝思科技,消费电子零部件及组装,,石油石化,其他石化
600362.SH,江西铜业,铜,,食品饮料,保健品
601127.SH,赛力斯,电动乘用车,,钢铁,铁矿石
300999.SZ,金龙鱼,粮油加工,,有色金属,钨
000568.SZ,泸州老窖,白酒Ⅲ,,轻工制造,塑料包装
600660.SH,福耀玻璃,车身附件及饰件,,传媒,营销代理
000725.SZ,京东方A,面板,,传媒,图片媒体
600487.SH,亨通光电,通信线缆及配套,,基础化工,纯碱
600183.SH,生益科技,印制电路板,,基础化工,其他化学原料
300442.SZ,润泽科技,通信应用增值服务,,公用事业,热力服务
000776.SZ,广发证券,证券Ⅲ,,汽车,车身附件及饰件
600050.SH,中国联通,电信运营商,,汽车,汽车经销商
601888.SH,中国中免,旅游零售Ⅲ,,农林牧渔,畜禽饲料
600026.SH,中远海能,航运,,钢铁,特钢Ⅲ
600019.SH,宝钢股份,板材,,钢铁,板材
601881.SH,中国银河,证券Ⅲ,,医药生物,诊断服务
601698.SH,中国卫通,航天装备Ⅲ,,农林牧渔,种子
601229.SH,上海银行,城商行Ⅲ,,食品饮料,零食
300014.SZ,亿纬锂能,锂电池,,钢铁,长材
301308.SZ,江波龙,数字芯片设计,,传媒,大众出版
601009.SH,南京银行,城商行Ⅲ,,电力设备,线缆部件及其他
601100.SH,恒立液压,工程机械器件,,社会服务,餐饮
600760.SH,中航沈飞,航空装备Ⅲ,,煤炭,焦炭Ⅲ
600999.SH,招商证券,证券Ⅲ,,纺织服饰,棉纺
600089.SH,特变电工,输变电设备,,食品饮料,啤酒
600489.SH,中金黄金,黄金,,医药生物,原料药
600875.SH,东方电气,综合电力设备商,,汽车,汽车综合服务
600893.SH,航发动力,航空装备Ⅲ,,商贸零售,超市
000408.SZ,藏格矿业,锂,,钢铁,钢铁管材
000617.SZ,中油资本,金融控股,,建筑装饰,工程咨询服务Ⅲ
600010.SH,包钢股份,板材,,基础化工,锦纶
601390.SH,中国中铁,基建市政工程,,基础化工,钾肥
002938.SZ,鹏鼎控股,印制电路板,,有色金属,磁性材料
601012.SH,隆基绿能,光伏电池组件,,农林牧渔,海洋捕捞
688506.SH,百利天恒,化学制剂,,家用电器,其他黑色家电
601868.SH,中国能建,基建市政工程,,传媒,影视动漫制作
002493.SZ,荣盛石化,炼油化工,,轻工制造,纸包装
001289.SZ,龙源电力,风力发电,,电力设备,光伏加工设备
688521.SH,芯原股份,数字芯片设计,,电子,印制电路板
000425.SZ,徐工机械,工程机械整机,,商贸零售,专业连锁Ⅲ
600926.SH,杭州银行,城商行Ⅲ,,基础化工,煤化工
002602.SZ,世纪华通,游戏Ⅲ,,有色金属,稀土
601727.SH,上海电气,综合电力设备商,,通信,通信应用增值服务
000807.SZ,云铝股份,铝,,食品饮料,软饮料
601800.SH,中国交建,基建市政工程,,机械设备,能源及重型设备
601111.SH,中国国航,航空运输,,机械设备,其他专用设备
603019.SH,中科曙光,其他计算机设备,,基础化工,膜材料
600585.SH,海螺水泥,水泥制造,,汽车,商用载客车
603501.SH,豪威集团,数字芯片设计,,食品饮料,其他酒类
600905.SH,三峡能源,风力发电,,公用事业,电能综合服务
603268.SH,*ST松发,航海装备Ⅲ,,基础化工,其他化学制品
600018.SH,上港集团,港口,,汽车,其他汽车零部件
600015.SH,华夏银行,股份制银行Ⅲ,,通信,通信工程及服务
002736.SZ,国信证券,证券Ⅲ,,汽车,汽车电子电气系统
000166.SZ,申万宏源,证券Ⅲ,,基础化工,复合肥
000988.SZ,华工科技,激光设备,,轻工制造,瓷砖地板
605117.SH,德业股份,逆变器,,农林牧渔,其他农产品加工
002353.SZ,杰瑞股份,能源及重型设备,,汽车,摩托车
601169.SH,北京银行,城商行Ⅲ,,电力设备,电机Ⅲ
605499.SH,东鹏饮料,软饮料,,基础化工,涤纶
002001.SZ,新和成,食品及饲料添加剂,,煤炭,焦煤
603799.SH,华友钴业,钴,,纺织服饰,其他纺织
300408.SZ,三环集团,被动元件,,非银金融,其他多元金融
600176.SH,中国巨石,玻纤制造,,有色金属,其他小金属
000657.SZ,中钨高新,钨,,石油石化,油气开采Ⅲ
688072.SH,拓荆科技,半导体设备,,农林牧渔,果蔬加工
300498.SZ,温氏股份,生猪养殖,,机械设备,激光设备
002230.SZ,科大讯飞,横向通用软件,,美容护理,生活用纸
688111.SH,金山办公,横向通用软件,,基础化工,炭黑
600886.SH,国投电力,水力发电,,纺织服饰,非运动服装
600011.SH,华能国际,火力发电,,轻工制造,其他家居用品
600522.SH,中天科技,通信线缆及配套,,食品饮料,预加工食品
688525.SH,佰维存储,数字芯片设计,,食品饮料,烘焙食品
600029.SH,南方航空,航空运输,,交通运输,中间产品及消费品供应链服务
600418.SH,江淮汽车,商用载货车,,轻工制造,娱乐用品
000958.SZ,电投产融,其他多元金融,,机械设备,其他自动化设备
601006.SH,大秦铁路,铁路运输,,机械设备,工程机械器件
688818.SH,电科蓝天,航天装备Ⅲ,,银行,城商行Ⅲ
600115.SH,中国东航,航空运输,,交通运输,跨境物流
601689.SH,拓普集团,底盘与发动机系统,,纺织服饰,运动服装
002202.SZ,金风科技,风电整机,,非银金融,期货
603296.SH,华勤技术,消费电子零部件及组装,,基础化工,合成树脂
000625.SZ,长安汽车,综合乘用车,,机械设备,印刷包装机械
002466.SZ,天齐锂业,锂,,有色金属,钼
000538.SZ,云南白药,中药Ⅲ,,家用电器,厨房小家电
601669.SH,中国电建,基建市政工程,,机械设备,工控设备
002648.SZ,卫星化学,其他化学原料,,轻工制造,印刷
002600.SZ,领益智造,消费电子零部件及组装,,基础化工,非金属材料Ⅲ
688498.SH,源杰科技,分立器件,,电子,数字芯片设计
000895.SZ,双汇发展,肉制品,,农林牧渔,水产饲料
000977.SZ,浪潮信息,其他计算机设备,,食品饮料,乳品
600673.SH,东阳光,综合Ⅲ,,轻工制造,卫浴制品
601186.SH,中国铁建,基建市政工程,,轻工制造,成品家居
600160.SH,巨化股份,氟化工,,基础化工,其他橡胶制品
600118.SH,中国卫星,航天装备Ⅲ,,美容护理,洗护用品
688271.SH,联影医疗,医疗设备,,基础化工,其他化学纤维
600549.SH,厦门钨业,钨,,电子,光学元件
001309.SZ,德明利,数字芯片设计,,机械设备,其他通用设备
600436.SH,片仔癀,中药Ⅲ,,基础化工,食品及饲料添加剂
002027.SZ,分众传媒,广告媒体,,纺织服饰,辅料
002837.SZ,英维克,其他专用设备,,医药生物,疫苗
688702.SH,盛科通信-U,数字芯片设计,,交通运输,公路货运
002709.SZ,天赐材料,电池化学品,,轻工制造,特种纸
000100.SZ,TCL科技,面板,,通信,通信终端及配件
300015.SZ,爱尔眼科,医院,,机械设备,纺织服装设备
301200.SZ,大族数控,其他专用设备,,医药生物,体外诊断
688783.SH,西安奕材-U,半导体材料,,商贸零售,综合电商
601231.SH,环旭电子,消费电子零部件及组装,,家用电器,厨房电器
002532.SZ,天山铝业,铝,,基础化工,民爆制品
002281.SZ,光迅科技,通信网络设备及器件,,电子,品牌消费电子
601825.SH,沪农商行,农商行Ⅲ,,机械设备,磨具磨料
600988.SH,赤峰黄金,黄金,,建筑装饰,装修装饰Ⅲ
600795.SH,国电电力,火力发电,,基础化工,纺织化学制品
000975.SZ,山金国际,黄金,,电力设备,光伏电池组件
000708.SZ,中信特钢,特钢Ⅲ,,社会服务,检测服务
600600.SH,青岛啤酒,啤酒,,机械设备,仪器仪表
300604.SZ,长川科技,半导体设备,,社会服务,人工景区
301377.SZ,鼎泰高科,金属制品,,基础化工,氨纶
300450.SZ,先导智能,锂电专用设备,,建筑材料,耐火材料
002241.SZ,歌尔股份,消费电子零部件及组装,,农林牧渔,水产养殖
301638.SZ,南网数字,IT服务Ⅲ,,电子,集成电路封测
600482.SH,中国动力,其他电源设备Ⅲ,,建筑材料,玻纤制造
600066.SH,宇通客车,商用载客车,,社会服务,学历教育
002311.SZ,海大集团,水产饲料,,美容护理,化妆品制造及其他
600426.SH,华鲁恒升,氮肥,,传媒,门户网站
002625.SZ,光启技术,航空装备Ⅲ,,轻工制造,文化用品
300757.SZ,罗博特科,其他自动化设备,,汽车,其他运输设备
600039.SH,四川路桥,基建市政工程,,基础化工,其他塑料制品
000630.SZ,铜陵有色,铜,,电子,半导体材料
601916.SH,浙商银行,股份制银行Ⅲ,,交通运输,快递
601077.SH,渝农商行,农商行Ⅲ,,电力设备,电工仪器仪表
601179.SH,中国西电,输变电设备,,商贸零售,电商服务
300857.SZ,协创数据,消费电子零部件及组装,,电力设备,硅料硅片
002008.SZ,大族激光,激光设备,,建筑装饰,钢结构
000933.SZ,神火股份,铝,,电子,LED
002179.SZ,中航光电,军工电子Ⅲ,,建筑装饰,化学工程
688331.SH,荣昌生物,其他生物制品,,农林牧渔,动物保健Ⅲ
000426.SZ,兴业银锡,铅锌,,基础化工,聚氨酯
000938.SZ,紫光股份,IT服务Ⅲ,,电力设备,配电设备
600958.SH,东方证券,证券Ⅲ,,传媒,游戏Ⅲ
600236.SH,桂冠电力,水力发电,,电力设备,风电整机
601018.SH,宁波港,港口,,建筑材料,水泥制品
000157.SZ,中联重科,工程机械整机,,石油石化,油田服务
688775.SH,影石创新,品牌消费电子,,基础化工,有机硅
002304.SZ,洋河股份,白酒Ⅲ,,农林牧渔,其他种植业
601360.SH,三六零,横向通用软件,,医药生物,医疗设备
603195.SH,公牛集团,其他家居用品,,电力设备,其他电源设备Ⅲ
600584.SH,长电科技,集成电路封测,,农林牧渔,肉鸡养殖
601808.SH,中海油服,油田服务,,计算机,安防设备
600498.SH,烽火通信,通信网络设备及器件,,社会服务,其他专业服务
000301.SZ,东方盛虹,炼油化工,,电力设备,火电设备
688183.SH,生益电子,印制电路板,,建筑材料,防水材料
301165.SZ,锐捷网络,通信网络设备及器件,,纺织服饰,家纺
601838.SH,成都银行,城商行Ⅲ,,基础化工,磷肥及磷化工
601238.SH,广汽集团,综合乘用车,,商贸零售,跨境电商
600023.SH,浙能电力,火力发电,,非银金融,金融信息服务
688082.SH,盛美上海,半导体设备,,农林牧渔,其他养殖
002128.SZ,电投能源,动力煤,,基础化工,改性塑料
600219.SH,南山铝业,铝,,基础化工,氟化工
002080.SZ,中材科技,玻纤制造,,交通运输,公交
001979.SZ,招商蛇口,商业地产,,机械设备,楼宇设备
600438.SH,通威股份,硅料硅片,,电子,半导体设备
600674.SH,川投能源,水力发电,,建筑材料,管材
600415.SH,小商品城,商业物业经营,,轻工制造,金属包装
600879.SH,航天电子,航天装备Ⅲ,,医药生物,医疗耗材
601991.SH,大唐发电,火力发电,,家用电器,彩电
600196.SH,复星医药,化学制剂,,电力设备,风电零部件
601788.SH,光大证券,证券Ⅲ,,交通运输,仓储物流
601877.SH,正泰电器,配电设备,,食品饮料,调味发酵品Ⅲ
002294.SZ,信立泰,化学制剂,,家用电器,卫浴电器
600009.SH,上海机场,机场,,石油石化,油气及炼化工程
688187.SH,时代电气,轨交设备Ⅲ,,农林牧渔,农业综合Ⅲ
603256.SH,宏和科技,玻纤制造,,轻工制造,定制家居
300475.SZ,香农芯创,其他电子Ⅲ,,电力设备,蓄电池及其他电池
600233.SH,圆通速递,快递,,电子,电子化学品Ⅲ
603659.SH,璞泰来,电池化学品,,汽车,电动乘用车
002156.SZ,通富微电,集成电路封测,,家用电器,其他家电Ⅲ
300548.SZ,长芯博创,通信网络设备及器件,,公用事业,其他能源发电
603893.SH,瑞芯微,数字芯片设计,,基础化工,胶黏剂及胶带
000768.SZ,中航西飞,航空装备Ⅲ,,食品饮料,熟食
600048.SH,保利发展,住宅开发,,机械设备,机器人
688223.SH,晶科能源,光伏电池组件,,有色金属,白银
688729.SH,屹唐股份,半导体设备,,医药生物,线下药店
688396.SH,华润微,集成电路制造,,传媒,院线
688375.SH,国博电子,军工电子Ⅲ,,农林牧渔,食用菌
600845.SH,宝信软件,IT服务Ⅲ,,银行,农商行Ⅲ
600803.SH,新奥股份,燃气Ⅲ,,医药生物,医疗研发外包
600741.SH,华域汽车,车身附件及饰件,,国防军工,航天装备Ⅲ
601168.SH,西部矿业,铜,,社会服务,体育Ⅲ
002595.SZ,豪迈科技,其他专用设备,,机械设备,农用机械
002812.SZ,恩捷股份,电池化学品,,农林牧渔,宠物食品
688120.SH,华海清科,半导体设备,,轻工制造,综合包装
001391.SZ,国货航,跨境物流,,基础化工,无机盐
002074.SZ,国轩高科,锂电池,,家用电器,个护小家电
600292.SH,电投水电,大气治理,,环保,大气治理
601607.SH,上海医药,医药流通,,公用事业,核力发电
300418.SZ,昆仑万维,游戏Ⅲ,,国防军工,航海装备Ⅲ
002920.SZ,德赛西威,垂直应用软件,,社会服务,教育运营及其他
000963.SZ,华东医药,化学制剂,,电子,分立器件
600221.SH,海航控股,航空运输,,基础化工,橡胶助剂
002558.SZ,巨人网络,游戏Ⅲ,,电力设备,锂电专用设备
600372.SH,中航机载,航空装备Ⅲ,,传媒,教育出版
000039.SZ,中集集团,金属制品,,通信,其他通信设备
601958.SH,金钼股份,钼,,家用电器,清洁小家电
300136.SZ,信维通信,消费电子零部件及组装,,电力设备,逆变器
601618.SH,中国中冶,其他专业工程,,传媒,视频媒体
301358.SZ,湖南裕能,电池化学品,,电子,集成电路制造
688249.SH,晶合集成,集成电路制造,,纺织服饰,鞋帽及其他
600096.SH,云天化,磷肥及磷化工,,有色金属,钴
601212.SH,白银有色,铜,,电子,模拟芯片设计
300803.SZ,指南针,垂直应用软件,,社会服务,人力资源服务
001389.SZ,广合科技,印制电路板,,美容护理,品牌化妆品
688036.SH,传音控股,品牌消费电子,,社会服务,会展服务
002653.SZ,海思科,化学制剂,,美容护理,医美耗材
300058.SZ,蓝色光标,营销代理,,纺织服饰,纺织鞋类制造
688361.SH,中科飞测,半导体设备,,传媒,其他数字媒体
002851.SZ,麦格米特,其他电源设备Ⅲ,,通信,电信运营商
000703.SZ,恒逸石化,炼油化工,,房地产,产业地产
300751.SZ,迈为股份,光伏加工设备,,商贸零售,旅游零售Ⅲ
001965.SZ,招商公路,高速公路,,纺织服饰,其他饰品
600703.SH,三安光电,LED,,纺织服饰,印染
001203.SZ,大中矿业,铁矿石,,农林牧渔,粮食种植
688629.SH,华丰科技,军工电子Ⅲ,,房地产,房地产综合服务
603228.SH,景旺电子,印制电路板,,电力设备,综合电力设备商
002049.SZ,紫光国微,数字芯片设计,,银行,国有大型银行Ⅲ
600377.SH,宁沪高速,高速公路,,非银金融,保险Ⅲ
688126.SH,沪硅产业,半导体材料,,建筑材料,涂料
688009.SH,中国通号,轨交设备Ⅲ,,传媒,文字媒体
600580.SH,卧龙电驱,电机Ⅲ,,有色金属,镍
300620.SZ,光库科技,通信网络设备及器件,,电力设备,燃料电池
000893.SZ,亚钾国际,钾肥,,,
600895.SH,张江高科,产业地产,,,
601061.SH,中信金属,贸易Ⅲ,,,
601901.SH,方正证券,证券Ⅲ,,,
688385.SH,复旦微电,数字芯片设计,,,
002414.SZ,高德红外,军工电子Ⅲ,,,
002236.SZ,大华股份,安防设备,,,
601298.SH,青岛港,港口,,,
688172.SH,燕东微,分立器件,,,
002738.SZ,中矿资源,其他小金属,,,
688027.SH,国盾量子,通信终端及配件,,,
300759.SZ,康龙化成,医疗研发外包,,,
300866.SZ,安克创新,品牌消费电子,,,
601117.SH,中国化学,化学工程,,,
002064.SZ,华峰化学,氨纶,,,
688469.SH,芯联集成-U,集成电路制造,,,
000831.SZ,中国稀土,稀土,,,
001872.SZ,招商港口,港口,,,
002422.SZ,科伦药业,化学制剂,,,
000596.SZ,古井贡酒,白酒Ⅲ,,,
300316.SZ,晶盛机电,光伏加工设备,,,
002131.SZ,利欧股份,金属制品,,,
688002.SH,睿创微纳,军工电子Ⅲ,,,
000960.SZ,锡业股份,其他小金属,,,
600871.SH,石化油服,油田服务,,,
601059.SH,信达证券,证券Ⅲ,,,
300919.SZ,中伟新材,电池化学品,,,
688777.SH,中控技术,工控设备,,,
600027.SH,华电国际,火力发电,,,
688047.SH,龙芯中科,数字芯片设计,,,
688387.SH,信科移动-U,通信网络设备及器件,,,
300223.SZ,北京君正,数字芯片设计,,,
300782.SZ,卓胜微,模拟芯片设计,,,
688428.SH,诺诚健华,化学制剂,,,
601456.SH,国联民生,证券Ⅲ,,,
300979.SZ,华利集团,纺织鞋类制造,,,
002195.SZ,岩山科技,IT服务Ⅲ,,,
300390.SZ,天华新能,电池化学品,,,
600021.SH,上海电力,火力发电,,,
301656.SZ,联合动力,汽车电子电气系统,,,
300395.SZ,菲利华,航空装备Ⅲ,,,
688110.SH,东芯股份,数字芯片设计,,,
000559.SZ,万向钱潮,底盘与发动机系统,,,
688336.SH,三生国健,其他生物制品,,,
600105.SH,永鼎股份,通信线缆及配套,,,
688585.SH,上纬新材,合成树脂,,,
002850.SZ,科达利,锂电池,,,
601377.SH,兴业证券,证券Ⅲ,,,
603260.SH,合盛硅业,有机硅,,,
600350.SH,山东高速,高速公路,,,
300054.SZ,鼎龙股份,电子化学品Ⅲ,,,
002555.SZ,三七互娱,游戏Ⅲ,,,
300661.SZ,圣邦股份,模拟芯片设计,,,
600801.SH,华新建材,水泥制造,,,
600570.SH,恒生电子,垂直应用软件,,,
603392.SH,万泰生物,疫苗,,,
002155.SZ,湖南黄金,黄金,,,
688313.SH,仕佳光子,通信网络设备及器件,,,
688568.SH,中科星图,IT服务Ⅲ,,,
000066.SZ,中国长城,其他计算机设备,,,
300347.SZ,泰格医药,医疗研发外包,,,
600918.SH,中泰证券,证券Ⅲ,,,
300251.SZ,光线传媒,影视动漫制作,,,
000688.SZ,国城矿业,铅锌,,,
688472.SH,阿特斯,光伏电池组件,,,
301526.SZ,国际复材,玻纤制造,,,
688019.SH,安集科技,电子化学品Ⅲ,,,
688122.SH,西部超导,航空装备Ⅲ,,,
601216.SH,君正集团,氯碱,,,
603308.SH,应流股份,金属制品,,,
300765.SZ,新诺威,原料药,,,
601021.SH,春秋航空,航空运输,,,
002487.SZ,大金重工,风电零部件,,,
601233.SH,桐昆股份,其他石化,,,
002429.SZ,兆驰股份,彩电,,,
603806.SH,福斯特,光伏辅材,,,
000002.SZ,万科A,住宅开发,,,
688796.SH,百奥赛图,医疗研发外包,,,
300207.SZ,欣旺达,锂电池,,,
000999.SZ,华润三九,中药Ⅲ,,,
601777.SH,千里科技,摩托车,,,
301269.SZ,华大九天,垂直应用软件,,,
600733.SH,北汽蓝谷,电动乘用车,,,
000878.SZ,云南铜业,铜,,,
688295.SH,中复神鹰,其他化学纤维,,,
002261.SZ,拓维信息,垂直应用软件,,,
601058.SH,赛轮轮胎,轮胎轮毂,,,
300037.SZ,新宙邦,电池化学品,,,
600352.SH,浙江龙盛,纺织化学制品,,,
300748.SZ,金力永磁,磁性材料,,,
300115.SZ,长盈精密,消费电子零部件及组装,,,
600968.SH,海油发展,油田服务,,,
300454.SZ,深信服,横向通用软件,,,
600711.SH,盛屯矿业,钴,,,
600392.SH,盛和资源,稀土,,,
688809.SH,强一股份,半导体设备,,,
300017.SZ,网宿科技,IT服务Ⅲ,,,
601598.SH,中国外运,跨境物流,,,
000786.SZ,北新建材,其他建材,,,
600143.SH,金发科技,改性塑料,,,
601136.SH,首创证券,证券Ⅲ,,,
688303.SH,大全能源,硅料硅片,,,
002821.SZ,凯莱英,医疗研发外包,,,
688234.SH,天岳先进,半导体材料,,,
600331.SH,宏达股份,磷肥及磷化工,,,
603568.SH,伟明环保,固废治理,,,
688578.SH,艾力斯,化学制剂,,,
600460.SH,士兰微,分立器件,,,
600995.SH,南网储能,电能综合服务,,,
300628.SZ,亿联网络,通信终端及配件,,,
000021.SZ,深科技,消费电子零部件及组装,,,
003031.SZ,中瓷电子,通信终端及配件,,,
600601.SH,方正科技,印制电路板,,,
600299.SH,安迪苏,食品及饲料添加剂,,,
600642.SH,申能股份,火力发电,,,
001257.SZ,盛龙股份,钼,,,
600061.SH,国投资本,证券Ⅲ,,,
601878.SH,浙商证券,证券Ⅲ,,,
600378.SH,昊华科技,氟化工,,,
603049.SH,中策橡胶,轮胎轮毂,,,
688195.SH,腾景科技,光学元件,,,
000547.SZ,航天发展,军工电子Ⅲ,,,
000973.SZ,佛塑科技,膜材料,,,
002078.SZ,太阳纸业,大宗用纸,,,
603929.SH,亚翔集成,其他专业工程,,,
300373.SZ,扬杰科技,分立器件,,,
002945.SZ,华林证券,证券Ⅲ,,,
600256.SH,广汇能源,油品石化贸易,,,
002601.SZ,龙佰集团,钛白粉,,,
301611.SZ,珂玛科技,半导体材料,,,
002273.SZ,水晶光电,光学元件,,,
601611.SH,中国核建,基建市政工程,,,
300666.SZ,江丰电子,半导体材料,,,
001286.SZ,陕西能源,火力发电,,,
600295.SH,鄂尔多斯,冶钢辅料,,,
000981.SZ,山子高科,底盘与发动机系统,,,
